Symbol,Type,Volume,Open Price,S/L,Close Price,Open Time,Close Time,Commission,Profit
GBPUSD,buy,1.0,1.266,1.2634,1.26348,2026.06.02 16:45:00,2026.06.02 18:20:00,-3.5,-251.93
EURUSD,buy,1.0,1.08103,1.07883,1.07896,2026.06.02 11:15:00,2026.06.02 11:19:00,-3.5,-207.31
EURUSD,buy,2.0,1.07665,1.07495,1.07952,2026.06.02 07:00:00,2026.06.02 07:04:00,-7.0,574.15
XAUUSD,sell,0.5,2050.0,2053.1,2045.74408,2026.06.03 16:15:00,2026.06.04 02:15:00,-1.75,21.28
XAUUSD,buy,0.5,2040.36,2037.56,2037.62443,2026.06.05 13:15:00,2026.06.05 17:15:00,-1.75,-13.68
GBPUSD,buy,1.0,1.27542,1.27432,1.27437,2026.06.05 07:00:00,2026.06.05 07:11:00,-3.5,-105.2
XAUUSD,sell,1.0,2046.66,2048.56,2043.62554,2026.06.08 21:15:00,2026.06.09 07:15:00,-3.5,30.34
EURUSD,buy,1.0,1.07472,1.07232,1.07916,2026.06.08 09:15:00,2026.06.08 19:15:00,-3.5,444.19
NAS100,sell,0.5,18429.05,18452.05,18374.55454,2026.06.08 10:15:00,2026.06.08 11:50:00,-1.75,27.25
GBPUSD,sell,2.0,1.26603,1.26973,1.26923,2026.06.08 20:30:00,2026.06.08 20:34:00,-7.0,-640.14
XAUUSD,sell,0.5,2056.77,2058.97,2054.00934,2026.06.09 15:30:00,2026.06.09 15:34:00,-1.75,13.8
NAS100,buy,1.0,18431.04,18403.04,18406.6699,2026.06.11 13:30:00,2026.06.11 17:30:00,-3.5,-24.37
GBPUSD,sell,2.0,1.27404,1.27574,1.27037,2026.06.11 21:15:00,2026.06.11 21:53:00,-7.0,733.39
EURUSD,buy,0.5,1.07915,1.07785,1.08245,2026.06.11 10:45:00,2026.06.11 12:20:00,-1.75,164.88
NAS100,sell,1.0,18559.89,18588.89,18525.14113,2026.06.11 22:45:00,2026.06.11 23:23:00,-3.5,34.75
EURUSD,buy,0.5,1.07763,1.07373,1.07427,2026.06.15 10:45:00,2026.06.15 14:45:00,-1.75,-167.77
XAUUSD,buy,0.5,2047.31,2044.51,2050.48882,2026.06.16 07:00:00,2026.06.16 07:11:00,-1.75,15.89
EURUSD,buy,1.0,1.08457,1.08207,1.08208,2026.06.17 21:15:00,2026.06.18 01:15:00,-3.5,-248.6
EURUSD,sell,0.5,1.08249,1.08449,1.08421,2026.06.17 21:00:00,2026.06.17 22:35:00,-1.75,-86.13
NAS100,buy,1.0,18574.15,18537.15,18542.532,2026.06.19 13:30:00,2026.06.19 13:34:00,-3.5,-31.62
EURUSD,sell,0.5,1.08118,1.08238,1.08238,2026.06.23 21:45:00,2026.06.23 23:20:00,-1.75,-59.94
NAS100,buy,2.0,18489.0,18453.0,18567.31286,2026.06.23 22:30:00,2026.06.24 00:05:00,-7.0,156.63
EURUSD,sell,0.5,1.07709,1.08029,1.0801,2026.06.23 20:00:00,2026.06.23 21:35:00,-1.75,-150.75
XAUUSD,buy,0.5,2042.69,2039.79,2049.01609,2026.06.23 11:00:00,2026.06.23 11:38:00,-1.75,31.63
NAS100,sell,2.0,18530.69,18546.69,18494.36712,2026.06.24 15:15:00,2026.06.24 15:53:00,-7.0,72.65
XAUUSD,buy,1.0,2044.05,2042.65,2047.44165,2026.06.24 10:45:00,2026.06.24 10:56:00,-3.5,33.92
EURUSD,sell,0.5,1.07947,1.08127,1.0811,2026.06.24 08:30:00,2026.06.24 08:41:00,-1.75,-81.66
EURUSD,sell,2.0,1.08355,1.08535,1.07976,2026.06.25 22:45:00,2026.06.25 23:23:00,-7.0,757.68
GBPUSD,sell,0.5,1.2688,1.2704,1.27022,2026.06.25 11:00:00,2026.06.25 21:00:00,-1.75,-71.2
GBPUSD,buy,1.0,1.26618,1.26368,1.26848,2026.06.30 08:30:00,2026.06.30 08:34:00,-3.5,229.58
GBPUSD,sell,2.0,1.26711,1.26921,1.26906,2026.06.30 22:00:00,2026.06.30 22:11:00,-7.0,-389.79
GBPUSD,buy,2.0,1.26476,1.26086,1.27126,2026.06.30 09:45:00,2026.06.30 19:45:00,-7.0,1299.37
XAUUSD,sell,0.5,2053.1,2054.7,2054.6564,2026.07.02 16:30:00,2026.07.02 18:05:00,-1.75,-7.78
GBPUSD,buy,1.0,1.27508,1.27388,1.27392,2026.07.02 22:00:00,2026.07.02 22:11:00,-3.5,-116.23
EURUSD,sell,2.0,1.075,1.077,1.07678,2026.07.02 22:00:00,2026.07.02 22:38:00,-7.0,-356.52
GBPUSD,sell,0.5,1.27042,1.27352,1.27352,2026.07.03 08:45:00,2026.07.03 08:49:00,-1.75,-155.0
EURUSD,sell,2.0,1.08278,1.08518,1.08512,2026.07.06 21:45:00,2026.07.06 23:20:00,-7.0,-467.84
NAS100,sell,2.0,18584.14,18621.14,18497.32649,2026.07.06 09:30:00,2026.07.06 10:08:00,-7.0,173.63
NAS100,buy,0.5,18444.68,18417.68,18496.75995,2026.07.06 16:30:00,2026.07.06 20:30:00,-1.75,26.04
EURUSD,buy,0.5,1.0799,1.0767,1.08571,2026.07.06 07:45:00,2026.07.06 11:45:00,-1.75,290.53
NAS100,buy,1.0,18430.99,18407.99,18455.93679,2026.07.07 11:15:00,2026.07.07 12:50:00,-3.5,24.95
EURUSD,sell,0.5,1.07498,1.07638,1.07304,2026.07.07 07:30:00,2026.07.07 07:41:00,-1.75,96.81
NAS100,sell,2.0,18542.72,18555.72,18555.16951,2026.07.07 10:45:00,2026.07.07 10:49:00,-7.0,-24.9
NAS100,sell,0.5,18560.16,18589.16,18491.47273,2026.07.08 07:45:00,2026.07.08 17:45:00,-1.75,34.34
GBPUSD,buy,2.0,1.2666,1.2633,1.26335,2026.07.08 10:15:00,2026.07.08 14:15:00,-7.0,-650.37
GBPUSD,buy,0.5,1.27492,1.27352,1.27639,2026.07.08 13:15:00,2026.07.08 13:26:00,-1.75,73.49
NAS100,buy,0.5,18523.68,18488.68,18589.08905,2026.07.09 14:15:00,2026.07.09 14:26:00,-1.75,32.7
XAUUSD,buy,0.5,2050.06,2046.96,2047.20084,2026.07.09 13:00:00,2026.07.09 23:00:00,-1.75,-14.3
GBPUSD,sell,0.5,1.26599,1.26759,1.26759,2026.07.09 16:45:00,2026.07.09 16:56:00,-1.75,-79.88
NAS100,buy,1.0,18421.86,18408.86,18442.9844,2026.07.13 07:15:00,2026.07.13 17:15:00,-3.5,21.12
EURUSD,buy,1.0,1.08372,1.08222,1.08696,2026.07.13 10:30:00,2026.07.13 10:34:00,-3.5,323.53
EURUSD,sell,2.0,1.0781,1.0793,1.07928,2026.07.13 10:15:00,2026.07.13 10:19:00,-7.0,-236.71
